work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,company_location,company_size
2,3,2,84,94900,84,77,1
2,0,2,84,18000,42,40,1
2,0,2,84,18000,15,15,1
2,2,2,266,240240,84,77,1
2,2,2,266,213815,84,77,1
2,3,2,194,264200,84,77,1
2,3,2,194,143100,84,77,1
2,3,2,194,250600,84,77,1
2,3,2,194,135400,84,77,1
2,3,2,194,324000,84,77,1
2,3,2,194,159000,84,77,1
2,2,2,253,250600,84,77,1
2,2,2,253,135400,84,77,1
2,3,2,266,239000,84,77,1
2,3,2,266,161000,84,77,1
2,3,2,253,180000,84,77,1
2,3,2,253,170000,84,77,1
2,3,2,94,259000,84,77,1
2,3,2,94,197625,84,77,1
2,0,2,252,63356,31,29,1
2,0,2,252,51403,31,29,1
2,2,2,120,38525,31,29,1
2,2,2,120,32332,31,29,1
2,3,2,228,135000,84,77,1
2,3,2,228,97024,84,77,1
2,3,2,26,250600,84,77,1
2,3,2,26,135400,84,77,1
2,3,2,253,230000,12,11,1
2,3,2,253,121000,12,11,1
2,3,2,266,264200,84,77,1
2,3,2,266,143100,84,77,1
2,3,2,277,200000,84,77,1
2,3,2,277,190000,84,77,1
2,3,2,266,250200,84,77,1
2,3,2,266,117200,84,77,1
2,2,2,168,174200,84,77,1
2,2,2,168,115700,84,77,1
2,3,2,168,158400,84,77,1
2,3,2,168,131000,84,77,1
2,0,2,168,73165,84,77,1
2,0,2,168,58542,84,77,1
2,2,2,161,115000,84,77,1
2,2,2,161,95000,84,77,1
2,3,2,266,70636,31,29,1
2,3,2,266,56227,31,29,1
2,3,2,169,314400,84,77,1
2,3,2,169,161600,84,77,1
2,3,2,22,190000,84,77,1
2,3,2,22,160000,84,77,1
2,2,2,276,125395,84,77,0
2,2,2,276,83597,84,77,0
2,3,2,266,240240,84,77,1
2,3,2,266,203350,84,77,1
2,2,2,76,183600,84,77,1
2,2,2,76,121900,84,77,1
2,3,2,144,124200,84,77,1
2,3,2,144,91800,84,77,1
2,3,2,97,223600,84,77,1
2,3,2,97,152200,84,77,1
2,0,2,84,94050,84,77,1
2,0,2,84,68850,84,77,1
2,0,2,84,86000,84,77,1
2,0,2,84,60000,84,77,1
2,3,2,84,119100,84,77,1
2,3,2,84,63600,84,77,1
2,3,2,120,133500,84,77,1
2,3,2,120,97900,84,77,1
2,2,2,141,153400,84,77,1
2,2,2,141,82600,84,77,1
2,3,2,141,171814,84,77,1
2,3,2,141,92920,84,77,1
2,0,2,141,157000,84,77,1
2,0,2,141,78300,84,77,1
2,3,2,141,165400,84,77,1
2,3,2,141,88300,84,77,1
2,3,2,141,132784,12,11,1
2,3,2,141,84981,12,11,1
2,0,2,205,82000,84,77,1
2,0,2,205,37000,84,77,1
2,2,2,38,56453,31,29,1
2,2,2,38,40370,31,29,1
2,2,2,254,120000,84,77,1
2,2,2,254,100000,84,77,1
2,2,2,24,126500,84,77,1
2,2,2,24,92000,84,77,1
2,3,2,211,283500,84,77,1
2,3,2,211,206100,84,77,1
2,0,2,24,80000,84,77,1
2,0,2,24,54000,84,77,1
2,2,2,211,55555,4,5,1
2,2,2,211,55555,4,5,1
2,3,2,26,210000,84,77,1
2,3,2,26,168000,84,77,1
2,2,2,81,50000,31,29,1
2,2,2,81,37500,31,29,1
2,3,2,276,180000,84,77,1
2,2,2,194,306000,84,77,1
2,2,2,194,204000,84,77,1
2,2,2,194,160100,12,11,1
2,2,2,194,118300,12,11,1
2,2,2,3,50000,31,29,1
2,2,2,3,37500,31,29,1
2,3,2,3,68750,31,29,1
2,3,2,3,56250,31,29,1
2,0,2,141,139360,84,77,1
2,0,2,141,78000,84,77,1
2,2,2,97,99298,84,77,1
2,2,2,97,85442,84,77,1
2,3,2,168,237400,84,77,1
2,3,2,168,158200,84,77,1
2,2,2,84,46666,50,47,1
2,2,2,84,33333,50,47,1
2,0,2,84,84375,31,29,1
2,0,2,84,67500,31,29,1
2,3,2,81,134000,84,77,1
2,3,2,81,71000,84,77,1
2,0,2,84,95472,84,77,1
2,0,2,84,63648,84,77,1
2,0,2,84,143700,84,77,1
2,0,2,84,68400,84,77,1
2,3,2,84,117040,84,77,1
2,3,2,84,74500,84,77,1
2,2,2,211,250600,12,11,1
2,2,2,211,167000,12,11,1
2,1,2,98,217350,84,77,1
2,1,2,98,160000,84,77,1
2,3,2,98,147700,12,11,1
2,3,2,98,79500,12,11,1
2,3,2,102,266200,84,77,1
2,3,2,102,205700,84,77,1
2,2,2,81,62500,31,29,1
2,2,2,81,50000,31,29,1
2,3,2,266,276000,84,77,1
2,3,2,266,148000,84,77,1
2,3,2,168,148000,84,77,1
2,3,2,36,272000,84,77,1
2,3,2,168,276000,84,77,1
2,3,2,168,148000,84,77,1
2,3,2,168,258750,84,77,1
2,3,2,168,132000,84,77,1
2,3,2,266,239000,12,11,1
2,3,2,266,142000,12,11,1
2,3,2,241,253000,84,77,1
2,3,2,241,160000,84,77,1
2,3,2,36,225607,84,77,1
2,3,2,36,150405,84,77,1
2,3,2,211,203600,84,77,1
2,3,2,211,127500,84,77,1
2,3,2,84,115605,84,77,1
2,3,2,84,84700,84,77,1
2,3,2,168,304750,84,77,1
2,3,2,168,164000,84,77,1
2,2,2,211,151200,12,11,1
2,2,2,211,81600,12,11,1
2,3,2,266,234000,84,77,1
2,3,2,266,117000,84,77,1
2,3,2,141,260590,84,77,1
2,3,2,141,130295,84,77,1
2,3,2,141,259200,84,77,1
2,3,2,141,157000,84,77,1
2,2,2,141,172000,21,20,1
2,2,2,141,75600,21,20,1
2,2,2,141,172000,84,77,1
2,2,2,141,75600,84,77,1
2,3,2,141,176000,84,77,1
2,3,2,141,136000,84,77,1
2,2,2,97,203000,84,77,1
2,2,2,97,123000,84,77,1
2,2,2,97,203000,84,77,1
2,2,2,97,123000,84,77,1
2,3,2,97,180000,84,77,1
2,3,2,97,90000,84,77,1
2,3,2,97,234000,84,77,1
2,3,2,97,117000,84,77,1
2,3,2,97,180000,84,77,1
2,3,2,97,90000,84,77,1
2,0,2,84,44444,30,28,1
2,0,2,84,44444,30,28,1
2,0,2,87,102082,84,77,1
2,0,2,87,43888,84,77,1
2,1,2,84,132500,84,77,1
2,1,2,84,80000,84,77,1
2,0,2,24,119392,84,77,1
2,0,2,24,79594,84,77,1
2,2,2,211,159120,84,77,1
2,2,2,211,60300,84,77,1
2,3,2,98,170040,84,77,1
2,3,2,98,97600,84,77,1
2,1,2,211,212160,84,77,1
2,1,2,211,141440,84,77,1
2,1,2,98,144000,84,77,1
2,1,2,98,85000,84,77,1
2,3,2,168,193000,84,77,1
2,3,2,168,84600,84,77,1
2,3,2,117,196320,84,77,1
2,3,2,117,130880,84,77,1
2,3,2,168,179442,84,77,1
2,3,2,168,119628,84,77,1
2,3,2,266,286000,84,77,1
2,3,2,266,143000,84,77,1
2,3,2,265,288400,84,77,1
2,3,2,265,144200,84,77,1
2,3,2,265,260590,84,77,1
2,3,2,265,130295,84,77,1
2,3,2,36,210500,84,77,1
2,2,2,160,143100,84,77,1
2,2,2,160,90200,84,77,1
2,3,2,141,273931,84,77,1
2,3,2,141,202472,84,77,1
2,2,2,141,227950,84,77,1
2,2,2,141,126100,84,77,1
2,2,2,168,122200,84,77,1
2,2,2,168,67600,84,77,1
2,0,2,24,96000,84,77,1
2,0,2,24,86000,84,77,1
2,3,2,84,164600,84,77,1
2,3,2,84,98800,84,77,1
2,3,2,84,164600,84,77,1
